User,Tweet
Delegatexvp,@mattpinfield I just saw this #sad
allabtjade,Not even police you can trust in Jamaica #sad
Iconauthorunkn,"Never allow someone to be your priority while allowing yourself to be their option.
.
.
#breakup #sad #hatelove #JEEMain2022"
luckasvnc,"Em momento solitário, me pergunto oque tou fazendo da minha vida ""kkkk""
Nem é meme ..... 

 #sad #meme #happy #TikTok #BrasilxChile https://t.co/FVNOSabcji"
cuccilani,disclaimer wala po actually cash na pinapamigay 😣 #sad
poligrafnews,Drže ga izolovanog – je li SAD predsednik Džo Bajden senilan? https://t.co/AbWjPHfeYD #widder #sad https://t.co/CmTsjGZyUr
sideralqueen,Insomnia strikes again. And this acc ia relatively new so I've never felt more lonely in my life lmao. #sad
a___lia,pAS DAH SELESAI BAKAR2 LANJUT NYIRAM BUNGA TP VUA DAN KOPI GOOD DAY GWA JG DISIRAM #sad https://t.co/aJABnp37Uz
Gagankhatrii,"ਕਹਿੰਦੀ ਕੀ ਸੋਚ ਰਿਹਾ ……… ਮੈਂ ਕਿਹਾ , ਤੂੰ ਕਿੰਨੀ ਬੇਵਫਾ ਨਿਕਲੀ 💔 ✍🏻
#soch #brokenheart #Sad https://t.co/jbUHUUQ3KE"
JoelRayIshman,@WilHovaJr In order to fully participate in their system... you gone have to play by their rules. We only 150yrs from when our people had owners. We literally belonged to a white person. It's still their system that we're trying to carve out some type of space in. #sad
DoktorEdin,@klixba #PressFreedom #UN #SAD #EU #UK #Germany #Russia #UnitedNations #Aleppo #USA #antiTrump #genocide #London #France #Paris #Italiy #Rohingya #Yemen #MigrationEU #Migration #politiek #πολιτική #BiH #pljuniVlast #AntiMacron #stopBREXIT #GiletsJaunes #BlackLivesMatter #Anonymous https://t.co/cfqGQS9U58
elenaRichard21,"Decoding #emotions: #Scientists can now tell if a #pig is #happy or #sad
#saturdayvibes #covid19safety #omicronvariant #psychiatry #psychology #conference2022 #staysafestayhealthy 
For more information visit our website : https://t.co/eDuoH9cGsd https://t.co/nTqwxNZVST"
SarahMyatt12,RT @johnyassavetes: i want some pretty dangly earrings but i’m too afraid to get my ears pierced #sad #depressed #suicidal
ShaloYipeeKiYay,"Hoy me corrieron de mi trabajo a medio directo y media partida de Fortnite 😥

#sad"
AlisonG75772620,"¿De que te sirvió quererme?, si al final te fuiste... #colombia #Bogotá #sad #love"
La_carito_79,"Acabo de ver ""si yo tuviera 30""
Uuufff que sería mágica la vida si se pudiera adelantar y dps retroceder!!

#sad

https://t.co/JzibTCRrdW https://t.co/b1sPowkRaz"
JackRFish,RT @CKeniry14: Wake forest 23 wins and 13 in the ACC. Meanwhile they got left out and every single BIG10 imaginable got a bid. @NCAA #sad
ToreKush,@RichardSsuna Unfortunately we need laws so that “humans” don’t torture animals 🤦🏼 it’s like some people just gave up themselves and they live in this weird backwards dimension where they have to torture their pets &amp; even friends for no reason 💔just being massive tumours #SAD #JUSTICE #LOVE💪
drunkbutter,I just want to be a normal person and have a normal life…not questioning every day if I’m gonna yeet myself into traffic…#edtwt #depression #alone #sad https://t.co/yyofgpsoQi
Paulyluvsu,#FooFighters #sad #speechless #tylerhawkins #RIP
pharaohleee,@Devanniisama Boy you have all these fucking cars and you don’t even play in tournaments #sad
blairgoudie,My weekend… #nft #nftart #nftartist #sad #sadsimpsons #simpsons #sadsimpsonsedit #nftcollector #nftproject https://t.co/R4bCiOe5gP
showstopperAsim,@myntra  4 days now that I have been trying to resolve my return issue with order no.1199140-4153773-6720703. This is highly frustrating. It is just impossible to contact myntra unless you are an insider!! Myntra would not accept my return without a tag that was NEVER sent! #Sad
EnderRoth,R.I.P Taylor Hawkins Foo Fighters will never be the same with out you brother. #Music #Sad
qireau,RT @UrrutiaAlejo: Taylor having fun… 😭 #FooFighters #taylorhawkins #DaveGrohl #bogota #colombia #sad https://t.co/Npf4GShv9o
HereticErik,"Sad day. :(  RIP

#TaylorHawkins #FooFighters #Sad 

https://t.co/3CMRjLqRd6"
SergeantPinback,@davidfrum #sad
DoktorEdin,@klixba #Ukrajinu unistavaju rusi a #BiH unistava #EU #SAD i #NATO. Ono sto je rusija za ukrajinu to je EU SAD i NATO za BiH. Budite sretni sto nije ostala stara administracija u americi i sto se promijenila administracija njemacke i sto je #EPP ozbiljno poljuljan
1065KWHL,I wish it wasn’t true. RIP @taylorhawkinsofficial #riptaylorhawkins #heartbroken #sad https://t.co/Wo1yuhIMZf
todoestamal16,Estás haciendo con el lo que yo siempre te pedía que hicieras con migo y nunca te dieron ganas de hacerlo 💔#sad
CKeniry14,Wake forest 23 wins and 13 in the ACC. Meanwhile they got left out and every single BIG10 imaginable got a bid. @NCAA #sad
Agumrcv,Una vez jugué a ser pendejo y así me quede &lt;/3 😔💔 #Sad
itsMBzle,@NFTZerk #sad &amp; #low
UrrutiaAlejo,Taylor having fun… 😭 #FooFighters #taylorhawkins #DaveGrohl #bogota #colombia #sad https://t.co/Npf4GShv9o
jessrab1131,"@LindseyGrahamSC @LindseyGrahamSC, is it hard to know that you will never, ever, ever be this inspiring, this admirable, and this luminous? #Sad #GoHome

https://t.co/hlNAWbc35V"
p3cintajemin,misi untuk ketemu lgi gagal #sad
jessrab1131,"@SenTedCruz @SenTedCruz, is it hard to know that you will never, ever, ever be this inspiring, this admirable, and this luminous? #Sad #GoHome

https://t.co/hlNAWbc35V"
jessrab1131,"@HawleyMO @HawleyMO, is it hard to know that you will never, ever, ever be this inspiring, this admirable, and this luminous? #Sad #GoHome

https://t.co/hlNAWbc35V"
jessrab1131,"@HawleyMO, @SenTedCruz, @LindseyGrahamSC, is it hard to know that you will never, ever, ever be this inspiring, this admirable, and this luminous? #Sad #GoHome

https://t.co/hlNAWbc35V"
kilamalays,RT @XmiEmi: Gave this to my bf because he wasnt talking to me #sad https://t.co/5YMGIEkPsH
poligrafnews,Drže ga izolovanog – je li SAD predsednik Džo Bajden senilan? https://t.co/AbWjPGXE75 #widder #sad https://t.co/V4TIL4sFfu
galactic_ditto,RT @EliteMassager: #likeforlike #happy #style #life #photo #nature #cute #insta #model #music #travel #likesforlike #girl #selfie #viral  #…
EliteMassager,#likeforlike #happy #style #life #photo #nature #cute #insta #model #music #travel #likesforlike #girl #selfie #viral  #liker #lfl #yourself #lifestyle #likeback #sad #thoughts #writer #photographer #k #photoshoot #india https://t.co/xoFCC5Q4qI
Gingyi1,"RT @allen_childs22: #HollywoodHypocracy #EliteScum
#CriticalThinking #DavosAgenda
#Hypocrisy #MKUltraVictim #sad
#twistedreality #greenagen…"
winightcheese,@KristenWeather Another 4 weeks of Paxil 🙃 #SAD https://t.co/DJJ0dJ54YZ
Anastasie290,"I do not know what other people think about love, but for me there is no such thing as love. Why is there so much loneliness and lies behind the word love? 😌😌😌
#sad #emotional #lonely"
1989foxbodygt,@JeffVaughn @LAPDHQ 😂😂😂😂😂#LiberalLunacy #Sad
AsTimeGoesBy0,"RT @AsTimeGoesBy0: @Judith54Nunn @noplaceforsheep When Scotty's polls are dropping, Jen goes shopping.
For votes.
On the telly.
#sad"
Lightning1z,"Hard to watch because Biden said his nominee MUST be black and female at exclusion of ALL others? Reverse discrimination hires don't always fail like the @VP did We shall see but dishonesty, soft on pedophilia and strong on baby killing not off to a good start #sad 😢🇺🇸"
DoktorEdin,@klixba #EU je mirovni sporazum s kojim se izvrsio udar na ustav #SRBiH. Mirovni sporazum je zaustavio rat medjutim vi ga danas nazivate ustavom a kantone i entitete ustavnom kategorijom sto nije tacno. #SAD #rusija i ostali garanti du mirovnog sporazuma izmedju hrvatske srbije i #BiH
solitudeenjoyer,"Saya percaya bahwa komentar yg nyinyir ini datengnya kebanyakan dari bukan orang beragama Islam. Dan misalnya dia muslim pun, amalan ibadahnya dan pengetahuannya belum tentu sebanyak para alim ulama. #sad https://t.co/81YjmEChzb"
Grandkathy,RT @TerrierWheaten: My morning bone was cut in half :( Can u Pwease make me whole by giving me the other half Hoomom?  #wheatenterrier #dog…
McKayGLIER,@GBullerjahn @TBrown_birds #Sad
ElaJMeadows,"Aching For a Hug

A thread ⬇️
#loss #grief #covid #death #dying #heaven #poetry #poem #poemoftheday #sad #sadness #missyou #rip #restinpeace #furryfrends #grampa #coping https://t.co/cRWgoDBIqJ"
JeffPar00999726,"RT @Kindness626: Sad face, sad teary eyes 😢 This baby just wants to feel loved. Please #adopt Simba. Take a look ⬇️ 💔 #sad #lonely #parent…"
DoktorEdin,@klixba EU je kancerogena u BiH i kreator svih destruktivnih ideja u #Bosni a provodi ih uglavnom kroz #EPP i v4 koje imaju svoje aparatice u #BiH. #EU #SAD i #NATO u BiH provodi #apartheid a rusija im je samo partner ali i izgovor za zlo koje nam nanose.
lorrainemiller7,"RT @Kindness626: Sad face, sad teary eyes 😢 This baby just wants to feel loved. Please #adopt Simba. Take a look ⬇️ 💔 #sad #lonely #parent…"
CreedHameed,"Attitude is everything!

#attitude #insta #viral #photoshoot #india #likes #quotes #bhfyp #tiktok #trending #loveyourself #success #positivevibes #comment #sad #modeling #mumbai #kerala #bollywood #lovequotes #motivationalquotes https://t.co/LlyObmRkVG"
MattMcCool24,The defense in the @NBA #NBA is non existent and so bad. I love the Sixers but this product looks like a @Globies game now #sad
Johan67437946,No les pasa como que necesitan un consejo de una persona que se alejo de su vida?💔##sad
PaintedRockJohn,@i8libtards Reread your text when you’re sober. #trump #sad #dangerous
ihiditall,i want to die. #Pain #Sad #DONE #empty #alone #heartbroken #miserable #truth #itstoolate #helpnotneeded
Michell10032864,"Que feo es saber que si tú no le escribes a ""tus amigos"" ellos ni se molestan por escribirte 
#sad
#andobajoneado
#diganmetklonecesito..."
